Unnamed: 0,Unnamed: 1,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,2015 Total,Jan.1,Feb.1,Mar.1,Apr.1,May.1,Jun.1,Jul.1,Aug.1,Sep.1,Oct.1,Nov.1,Dec.1,2016 Total,Jan.2,Feb.2,Mar.2,Apr.2,May.2,Jun.2,Jul.2,Aug.2,Sep.2,Oct.2,Nov.2,Dec.2,2017 Total,Jan.3,Feb.3,Mar.3,Apr.3,May.3,Jun.3,Jul.3,Aug.3,Sep.3,Oct.3,Nov.3,Dec.3,2018 Total,Jan.4,Feb.4,Mar.4,Apr.4,May.4,Jun.4,Jul.4,Aug.4,Sep.4,Oct.4,Nov.4,Dec.4,2019 Total,Jan.5,Feb.5,Mar.5,Apr.5,May.5,Jun.5,Jul.5,Aug.5,Sep.5,Oct.5,Nov.5,Dec.5,2020 Total,Jan.6,Feb.6,Mar.6,Apr.6,May.6,Jun.6,Jul.6,Aug.6,Sep.6,Oct.6,Nov.6,Dec.6,2021 Total,Jan.7,Feb.7,Mar.7,Apr.7,May.7,Jun.7,Jul.7,Aug.7,Sep.7,Oct.7,Nov.7,Dec.7,2022 Total,Jan.8,Feb.8,Mar.8,Apr.8,May.8,Jun.8,Jul.8,Aug.8,Sep.8,Oct.8,Nov.8,Dec.8,2023 Total,Jan.9,Feb.9,Mar.9,Apr.9,May.9,Jun.9,Jul.9,Aug.9,Sep.9,Oct.9,Nov.9,Dec.9,2024 Total,Jan.10,Feb.10,Mar.10,Apr.10,May.10,Jun.10,Jul.10,Aug.10,Sep.10,Oct.10,Nov.10,Dec.10,2025 Total,Jan.11,2026 Total
,Newfoundland and Labrador,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,--,0,0,0,0,0,0,0,0,0,--,0,0,0,0,5,0,--,0,0,0,--,0,5,0,0,0,0,0,--,0,0,--,0,0,0,5,0,0,0,0,--,--,0,0,0,--,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,0,--,0,0,0,0,0,0,--,0,0,--,0,0,--,0,0
,Nova Scotia,0,0,0,0,0,0,0,--,0,0,0,0,--,0,0,0,--,0,--,0,0,--,0,0,0,--,0,0,0,0,5,0,0,0,--,0,0,0,5,0,0,--,0,0,0,0,--,--,--,0,0,10,0,0,0,0,0,--,0,--,--,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,--,0,0,0,0,0,--,--,--,--,5,--,--,10,0,--,0,0,0,5,--,--,--,--,--,--,20,--,0,--,5,--,--,--,5,--,0,0,5,40,--,--,0,0,--,5,5,--,5,--,--,--,30,5,5
,New Brunswick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Quebec,10,35,30,25,30,30,35,20,30,35,35,35,340,35,30,30,25,25,35,35,40,55,50,30,60,455,40,55,50,40,75,75,85,105,125,115,100,235,"1,100",140,180,245,175,245,245,205,230,325,260,320,340,"2,910",245,220,225,225,325,325,385,390,450,390,325,295,"3,795",245,330,185,--,--,5,5,15,--,10,15,35,850,20,15,15,10,15,10,30,45,170,370,455,470,"1,630",415,405,605,565,740,950,"1,030","1,040","1,520","1,410","1,515","1,455","11,650",930,980,"1,010","1,495","1,760","2,665","2,540","2,260","3,415","3,375","2,780","2,515","25,735","1,990","3,190","2,510","2,630","2,510","2,325","1,880",980,"1,615","1,050",970,"1,370","23,020",745,525,530,490,430,440,470,360,510,350,370,430,"5,650",190,190
,Ontario,65,160,165,155,190,215,105,95,135,145,215,225,"1,865",215,365,210,125,180,160,115,155,345,185,185,195,"2,435",215,185,145,165,180,135,180,150,240,265,195,390,"2,455",370,255,215,350,395,280,280,305,350,295,335,355,"3,785",225,245,345,265,255,260,250,285,435,400,450,425,"3,840",280,295,185,--,--,10,15,25,15,20,30,30,920,45,30,20,40,35,35,30,65,255,300,330,450,"1,630",305,275,330,370,415,360,360,390,490,625,530,525,"4,985",400,460,520,715,900,"1,575","1,410",915,"1,840","1,995","1,875","1,730","14,335","1,505","2,010","1,855","2,285","2,370","2,005","1,620",960,"1,075","1,080",775,935,"18,470",455,470,460,510,435,470,480,385,545,415,370,470,"5,465",200,200
,Manitoba,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,--,0,0,0,0,0,0,0,0,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,5,--,0,0,0,0,0,0,0,0,0,0,--,5,0,0,0,--,0,0,0,--,0,0,0,--,5,0,0
,Saskatchewan,0,0,0,0,0,0,0,0,0,0,--,0,--,0,0,0,--,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--
,Alberta,--,--,0,--,--,0,10,--,0,0,--,5,25,--,5,0,5,10,0,--,0,--,--,--,--,35,5,--,--,15,--,--,10,--,10,5,--,20,80,--,--,5,5,5,10,--,--,10,15,10,5,80,10,--,0,15,--,25,5,15,25,10,15,10,135,--,--,5,0,0,0,0,0,0,0,0,--,10,--,--,0,0,--,0,--,0,--,10,35,10,60,10,15,10,5,5,15,15,15,--,20,15,20,155,10,20,35,30,20,40,25,50,90,95,50,80,540,50,45,65,55,70,30,65,25,35,25,35,20,520,25,10,20,30,25,20,20,20,25,10,20,35,260,20,20
,British Columbia,10,5,15,5,--,5,5,10,5,--,--,5,80,5,--,5,10,10,10,--,15,5,10,10,20,100,25,10,20,15,15,20,20,15,20,25,15,15,205,10,10,5,5,10,5,10,10,15,15,20,20,135,15,20,25,45,25,20,35,20,25,40,30,35,330,35,20,20,--,0,--,--,0,--,0,--,0,80,--,--,--,0,--,10,10,5,10,20,20,50,140,15,15,25,15,30,30,35,35,30,35,40,35,345,25,25,30,35,60,60,35,70,80,95,100,55,675,50,75,45,55,40,45,35,40,30,45,35,40,535,35,30,25,35,20,20,25,30,30,25,20,25,315,20,20
,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Airport - Total,,85,205,205,185,225,250,155,130,170,180,260,270,"2,320",260,405,250,165,225,205,160,210,410,245,230,275,"3,035",285,255,220,235,285,235,295,270,400,405,320,660,"3,865",530,445,475,540,660,545,495,550,705,585,690,720,"6,930",490,485,595,545,610,630,675,715,940,835,815,770,"8,105",565,650,390,5,5,15,25,40,25,30,45,70,"1,865",70,45,35,50,55,55,75,120,435,695,840,985,"3,460",740,710,975,960,"1,190","1,360","1,440","1,485","2,045","2,095","2,105","2,040","17,150","1,370","1,490","1,595","2,280","2,745","4,345","4,010","3,300","5,425","5,565","4,805","4,380","41,310","3,600","5,325","4,475","5,035","4,995","4,410","3,600","2,015","2,765","2,200","1,810","2,375","42,590","1,265","1,035","1,040","1,060",910,960,"1,000",800,"1,115",800,780,965,"11,730",435,435
,Newfoundland and Labrador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,--,--,0,0,0,0,--,0,0
,Nova Scotia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,--,0,--,0,0,0,--,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,New Brunswick,0,--,0,0,0,0,0,0,0,0,0,--,--,--,0,--,0,--,--,--,0,10,0,--,0,20,--,0,5,15,0,0,--,0,0,--,0,--,25,0,0,--,0,0,0,--,--,--,0,--,0,10,--,0,--,0,0,0,--,0,0,--,0,0,5,--,0,--,0,0,0,--,0,0,--,0,0,5,--,0,0,0,--,0,--,0,5,0,--,--,15,0,0,--,--,0,--,0,--,--,0,0,5,15,0,0,--,--,0,--,0,10,--,--,5,--,30,0,--,0,--,--,--,--,--,10,--,--,5,30,--,5,5,15,--,--,--,10,--,--,--,0,50,10,10
,Quebec,40,60,55,70,80,80,105,135,110,110,90,100,"1,035",140,95,85,125,90,130,180,180,255,290,370,590,"2,520",445,600,785,505,265,270,285,290,200,265,245,280,"4,440",210,185,"1,615","2,500","1,860","1,220","1,620","1,740","1,530","1,385","1,070","1,280","16,215",900,825,995,"1,220","1,200","1,565","1,920","1,775","1,745","1,670","1,165","1,675","16,655","1,125","1,010",960,15,135,80,115,120,100,135,95,170,"4,065",95,100,65,95,100,110,140,295,370,395,"1,000","2,880","5,640","2,355","2,250","2,515","2,765","3,610","3,120","3,720","3,330","3,730","3,965","3,750","4,780","39,890","4,960","4,535","4,335",610,615,555,650,695,"1,015",830,705,"1,030","20,535",810,910,835,665,620,710,705,625,540,505,670,810,"8,405",550,760,"1,370","2,845",665,"1,630","3,535","1,690",735,685,540,705,"15,705",800,800
,Ontario,185,175,185,160,185,225,275,255,295,305,230,310,"2,785",270,255,210,230,235,305,360,400,445,340,425,460,"3,925",430,450,555,515,495,450,440,575,490,425,315,330,"5,470",290,225,250,225,215,310,335,385,375,320,235,235,"3,400",220,205,210,225,305,260,340,305,325,285,245,230,"3,155",195,175,140,15,40,55,80,100,125,140,125,135,"1,325",135,115,95,110,120,135,195,285,510,375,340,440,"2,850",275,280,380,455,505,520,425,470,510,465,425,525,"5,240",470,365,585,885,945,555,665,545,695,590,610,740,"7,665",535,415,485,385,410,425,375,405,440,485,415,510,"5,290",420,275,340,415,290,360,575,380,250,245,205,240,"3,995",235,235
,Manitoba,0,--,--,--,15,20,20,40,25,35,40,25,225,20,15,55,40,50,40,40,45,50,60,65,30,505,20,150,180,165,125,70,95,85,75,75,40,20,"1,100",15,30,55,50,40,35,55,40,45,25,20,20,435,--,5,15,20,30,35,30,30,25,20,15,--,230,5,--,5,0,--,--,--,--,--,0,--,--,30,0,0,--,--,--,--,5,--,--,--,--,--,30,0,0,--,--,--,--,5,10,10,20,25,5,90,20,10,25,10,--,--,10,--,--,10,--,10,100,15,--,10,--,10,10,--,15,10,15,15,20,130,15,20,10,10,10,10,25,5,10,10,10,20,150,10,10
,Saskatchewan,0,0,0,0,0,0,--,0,0,--,0,0,--,0,10,5,0,0,--,0,0,--,--,--,--,30,0,0,--,10,--,--,0,0,0,--,5,0,20,--,0,0,0,0,0,0,0,0,--,0,0,--,0,0,0,0,0,0,--,--,--,--,0,--,5,0,0,--,0,0,0,--,0,--,0,0,0,--,0,--,0,--,0,--,--,0,0,--,0,0,5,0,0,0,--,0,0,--,0,0,0,0,0,5,0,0,--,--,0,--,0,--,0,--,--,--,10,--,0,--,--,0,0,5,--,10,--,--,--,30,5,0,0,--,5,--,15,20,--,0,--,0,55,--,--
,Alberta,0,--,10,--,10,5,--,5,10,10,5,10,70,0,--,5,15,--,--,15,10,15,20,15,15,120,15,25,25,10,10,25,20,25,35,10,10,10,215,15,25,25,15,20,20,40,35,20,30,20,15,275,20,--,10,10,15,--,40,30,15,20,10,10,180,--,10,20,0,--,0,10,--,5,10,5,15,90,--,10,25,5,--,10,25,10,15,25,40,5,180,15,5,15,25,40,30,60,30,25,30,55,55,385,10,25,60,40,45,20,40,25,60,55,40,35,460,15,20,50,35,40,25,25,25,25,40,30,40,380,10,30,20,35,15,30,15,30,25,20,20,35,280,5,5
,British Columbia,10,10,15,--,15,5,10,20,30,15,15,25,165,20,15,20,10,25,25,5,20,25,25,15,15,220,10,20,35,35,20,5,30,40,50,20,30,35,345,50,50,60,55,70,55,50,55,90,55,40,50,690,30,25,65,35,30,30,45,40,45,40,35,20,440,20,20,25,--,--,5,25,15,15,25,10,15,190,15,10,10,20,20,20,15,40,40,35,30,60,320,35,50,40,35,55,30,60,65,75,60,80,140,715,135,105,110,60,65,70,50,65,65,65,100,215,"1,115",175,170,115,85,75,75,100,75,75,50,70,85,"1,150",85,60,80,70,35,45,55,65,75,35,60,45,695,40,40
,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,--,0,0,0,0,0,0,0,0,0,--,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,--,0,0,--,0,0,0,0,0,0,--,0,0
