Unnamed: 0,Unnamed: 1,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,2015 Total,Jan.1,Feb.1,Mar.1,Apr.1,May.1,Jun.1,Jul.1,Aug.1,Sep.1,Oct.1,Nov.1,Dec.1,2016 Total,Jan.2,Feb.2,Mar.2,Apr.2,May.2,Jun.2,Jul.2,Aug.2,Sep.2,Oct.2,Nov.2,Dec.2,2017 Total,Jan.3,Feb.3,Mar.3,Apr.3,May.3,Jun.3,Jul.3,Aug.3,Sep.3,Oct.3,Nov.3,Dec.3,2018 Total,Jan.4,Feb.4,Mar.4,Apr.4,May.4,Jun.4,Jul.4,Aug.4,Sep.4,Oct.4,Nov.4,Dec.4,2019 Total,Jan.5,Feb.5,Mar.5,Apr.5,May.5,Jun.5,Jul.5,Aug.5,Sep.5,Oct.5,Nov.5,Dec.5,2020 Total,Jan.6,Feb.6,Mar.6,Apr.6,May.6,Jun.6,Jul.6,Aug.6,Sep.6,Oct.6,Nov.6,Dec.6,2021 Total,Jan.7,Feb.7,Mar.7,Apr.7,May.7,Jun.7,Jul.7,Aug.7,Sep.7,Oct.7,Nov.7,Dec.7,2022 Total,Jan.8,Feb.8,Mar.8,Apr.8,May.8,Jun.8,Jul.8,Aug.8,Sep.8,Oct.8,Nov.8,Dec.8,2023 Total,Jan.9,Feb.9,Mar.9,Apr.9,May.9,Jun.9,Jul.9,Aug.9,Sep.9,Oct.9,Nov.9,Dec.9,2024 Total,Jan.10,Feb.10,Mar.10,Apr.10,May.10,Jun.10,Jul.10,Aug.10,Sep.10,Oct.10,Nov.10,Dec.10,2025 Total,Jan.11,2026 Total
Border - Total,,240,250,260,240,300,335,410,450,465,480,380,470,"4,280",445,395,385,415,405,500,600,660,805,735,895,"1,120","7,355",920,"1,245","1,590","1,255",915,825,875,"1,015",855,800,645,675,"11,615",580,515,"2,005","2,845","2,205","1,640","2,100","2,265","2,065","1,820","1,385","1,600","21,025","1,175","1,060","1,300","1,510","1,580","1,900","2,375","2,180","2,150","2,040","1,470","1,945","20,680","1,350","1,220","1,155",35,180,145,235,240,250,320,245,330,"5,705",255,235,195,230,245,280,380,630,950,835,"1,415","3,390","9,040","2,675","2,585","2,950","3,290","4,215","3,710","4,275","3,905","4,355","4,535","4,340","5,510","46,345","5,600","5,040","5,120","1,610","1,670","1,210","1,420","1,345","1,845","1,560","1,470","2,035","29,920","1,550","1,520","1,500","1,175","1,165","1,255","1,220","1,155","1,110","1,100","1,205","1,475","15,425","1,085","1,150","1,825","3,390","1,020","2,080","4,220","2,200","1,100",990,830,"1,045","20,935","1,105","1,105"
,Newfoundland and Labrador,0,0,0,0,0,0,0,0,0,0,0,5,5,0,--,0,0,--,0,0,--,--,0,0,0,--,0,--,0,0,0,0,0,--,--,--,0,0,10,5,--,--,0,--,0,10,--,0,--,5,0,30,--,--,--,--,0,5,0,--,0,0,--,0,15,0,0,0,0,--,0,--,--,--,0,--,--,10,--,0,--,0,--,--,0,0,0,--,--,5,15,0,--,--,--,0,--,0,0,0,--,5,0,15,--,--,0,--,5,5,--,--,--,10,10,5,45,--,5,--,--,5,5,10,--,--,10,--,5,65,5,--,10,10,15,10,--,15,10,15,5,15,110,10,10
,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,--,--,0,--,--,--,0,10,0,0,--,0,0,0,--,0,5,0,--,0,10,0,--,0,0,--,0,0,0,0,0,0,0,--,0,--,0,0,--,--,--,0,0,--,--,--,15,5,--,--,--,--,--,0,5,--,10,--,--,45,--,10,--,--,--,5,--,10,5,5,--,--,55,--,--
,Nova Scotia,0,0,--,--,10,--,--,5,--,10,--,--,40,--,0,5,--,--,--,5,10,5,--,5,10,60,--,--,0,--,--,5,5,--,--,--,10,10,50,--,--,--,--,5,--,--,5,5,10,--,5,50,10,10,5,5,--,--,--,5,0,10,25,--,80,5,15,5,10,10,--,--,0,0,--,0,10,60,--,--,5,--,--,--,0,--,5,5,5,--,40,5,5,5,--,--,10,10,10,10,5,5,15,85,--,20,--,5,5,10,25,10,15,15,20,10,135,15,15,25,20,20,15,45,15,30,25,30,15,275,20,35,35,25,20,25,40,25,30,45,40,35,380,30,30
,New Brunswick,0,0,0,0,0,--,0,0,0,0,0,0,--,0,--,--,0,0,0,0,--,0,0,0,--,5,--,0,--,5,0,0,5,--,0,0,--,--,20,--,--,5,5,--,--,5,--,--,5,--,--,35,10,--,--,--,--,0,--,--,5,--,5,--,35,--,10,0,--,--,--,--,--,--,0,--,0,30,5,--,--,0,--,--,0,--,0,--,--,--,25,--,--,--,0,0,--,--,0,0,10,--,10,40,--,--,--,--,15,5,5,--,15,20,15,15,100,15,20,30,10,15,10,30,20,45,35,40,25,295,25,30,20,15,25,30,20,50,40,35,35,25,345,25,25
,Quebec,130,100,115,115,95,140,150,140,200,150,180,145,"1,670",200,170,195,160,165,175,195,265,310,225,270,225,"2,550",290,285,490,580,720,970,"2,790","5,635","2,110","2,165","1,835","2,075","19,950","1,735","1,755",705,535,435,480,600,620,680,995,870,605,"10,005",750,770,680,680,740,745,"1,055",945,945,"1,070","1,015","1,380","10,785",920,670,600,325,275,415,245,245,340,275,315,235,"4,870",215,205,270,180,200,155,155,170,200,240,340,470,"2,795",410,515,540,470,500,565,570,710,705,655,630,935,"7,205","1,055",915,895,855,"1,230","1,220","1,700","1,950","2,020","2,460","2,300","2,330","18,925","2,390","2,355","2,230","2,080","2,195","1,900","2,070","2,090","2,155","2,310","2,015","1,990","25,785","1,750","1,585","1,315","1,170","1,285","1,325","1,685","1,550","1,600","1,460","1,255","1,185","17,160","1,010","1,010"
,Ontario,625,485,465,480,460,495,510,455,655,505,645,590,"6,365",705,690,730,690,575,645,585,710,865,"1,015",960,650,"8,825",900,920,890,795,970,975,875,"1,415","1,010","1,015","1,120",755,"11,640",945,965,825,670,"1,030",915,945,"1,255","1,445","1,815","1,930","1,230","13,975","1,675","1,585","1,350","1,250","1,385","1,200","1,880","1,960","1,990","1,990","1,595","1,540","19,405","1,415","1,170","1,100",815,660,640,280,365,420,490,485,440,"8,275",445,485,550,465,475,460,460,405,570,635,"1,100","1,165","7,210","1,110","1,190","1,180","1,050","1,075","1,265","1,240","1,690","1,465","1,330","1,775","1,855","16,225","2,090","1,780","1,940","1,660","2,495","2,825","3,435","4,540","4,275","5,150","5,645","5,225","41,055","5,460","5,365","5,635","5,525","5,880","5,055","5,775","5,775","5,580","6,045","5,235","5,000","66,335","4,325","3,600","3,585","3,420","3,415","3,780","3,630","3,450","3,970","3,790","3,195","2,905","43,065","2,655","2,655"
,Manitoba,--,--,10,20,5,--,5,10,10,--,5,15,95,5,5,5,5,--,--,15,10,10,10,10,10,90,15,10,20,20,20,15,10,30,10,35,20,15,230,20,20,15,10,5,10,10,20,15,15,20,15,180,10,25,--,10,20,10,25,30,20,15,10,10,180,20,20,35,10,--,10,--,5,5,10,10,10,140,--,10,--,5,5,5,5,--,--,5,25,20,95,30,5,15,20,15,20,15,25,20,15,10,25,215,10,10,15,10,25,45,60,50,65,120,140,110,655,130,135,135,115,145,155,175,175,195,185,180,195,"1,925",170,125,85,90,95,135,135,130,120,180,115,170,"1,550",90,90
,Saskatchewan,5,0,0,0,0,5,--,5,0,--,--,5,30,10,5,--,--,--,--,5,--,--,--,10,--,45,--,--,10,0,10,10,5,10,5,--,0,--,60,5,5,--,5,5,--,5,--,5,10,--,--,55,15,5,5,--,--,5,--,10,15,5,10,15,90,--,--,--,5,--,0,0,--,0,5,--,--,30,5,--,--,5,--,--,5,--,5,--,--,0,30,--,--,10,5,--,0,--,--,10,--,--,10,55,10,--,5,--,10,10,5,15,20,25,20,25,155,55,30,50,30,35,50,45,45,55,45,55,55,555,40,50,30,50,50,45,50,45,60,75,55,30,575,40,40
,Alberta,45,60,45,35,30,60,60,70,90,70,45,55,665,45,55,75,50,50,50,60,65,100,120,70,70,810,110,55,75,60,75,90,75,135,100,130,90,90,"1,085",95,80,65,90,70,65,105,115,110,150,110,125,"1,190",100,105,95,110,120,115,205,120,145,150,120,155,"1,535",155,120,95,65,60,50,45,40,45,35,65,45,810,65,40,65,60,45,30,40,35,35,80,80,105,690,110,90,140,100,105,110,95,150,120,115,145,175,"1,455",175,175,150,160,205,360,430,620,605,730,795,645,"5,050",705,570,685,615,720,665,745,780,855,880,800,775,"8,790",650,500,440,500,495,585,660,590,670,670,535,545,"6,845",480,480
,British Columbia,40,45,30,40,35,35,70,35,50,65,60,60,565,90,100,80,40,65,75,75,105,80,125,120,100,"1,050",100,120,135,110,135,140,170,275,210,195,140,80,"1,810",80,110,100,100,100,110,125,140,135,200,185,130,"1,515",185,190,185,200,195,220,405,330,295,335,290,245,"3,070",230,260,200,245,145,175,60,90,110,120,140,95,"1,870",125,95,125,100,115,110,95,85,95,130,165,195,"1,430",150,180,255,190,180,260,215,300,205,220,320,345,"2,825",390,340,360,260,375,460,470,575,605,650,680,715,"5,885",740,595,705,680,740,685,670,780,865,"1,010","1,055","1,165","9,690",960,825,815,760,800,"1,000",895,740,945,"1,015",810,780,"10,350",720,720
,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,--,0,0,0,--,0,0,0,0,--,--,--,5,10,0,0,0,--,0,0,0,--,--,0,0,--,5,--,--
,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,--,0,0,0,0,0,0,0,--,0,--,0,0,--,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,0,0,--,0,0,0,--,--,0,0,10,0,0,--,0,0,--,--,--,0,--,--,0,15,--,--
,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,--,--,0,0,0,--,0,0,0,0,0,--,0,--,--,--,0,0,10,0,--,0,0,0,0,0,0,0,0,0,0,--,0,0
,Province/Territory of claim not stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,--,0,0,0,--,--,--,--,5,--,0,0,0,0,0,--,0,--,0,0,0,--,0,0,0,0,--,--,--,0,0,0,0,0,--,0,0
Inland - Total,,845,690,660,700,640,740,800,720,"1,010",805,945,880,"9,435","1,050","1,030","1,095",955,860,960,940,"1,160","1,375","1,495","1,450","1,065","13,440","1,415","1,400","1,615","1,570","1,930","2,205","3,940","7,505","3,460","3,550","3,215","3,035","34,855","2,890","2,945","1,720","1,425","1,660","1,590","1,805","2,165","2,395","3,200","3,130","2,110","27,035","2,755","2,695","2,330","2,260","2,470","2,305","3,570","3,405","3,410","3,575","3,075","3,345","35,195","2,750","2,270","2,025","1,475","1,160","1,300",635,750,925,940,"1,025",835,"16,095",865,840,"1,020",820,845,770,770,695,920,"1,110","1,725","1,965","12,345","1,820","1,995","2,150","1,835","1,875","2,235","2,155","2,895","2,535","2,355","2,900","3,365","28,120","3,740","3,245","3,370","2,960","4,365","4,945","6,135","7,765","7,625","9,185","9,630","9,080","72,040","9,530","9,105","9,495","9,080","9,755","8,555","9,565","9,695","9,790","10,565","9,415","9,235","113,785","7,945","6,755","6,340","6,045","6,205","6,950","7,120","6,610","7,455","7,290","6,055","5,695","80,460","5,055","5,055"
Other Offices,,0,0,--,0,0,0,0,0,0,0,--,0,--,0,0,0,0,--,0,--,0,0,--,--,0,10,--,0,0,5,0,0,--,--,--,0,--,--,25,--,0,--,0,5,--,--,--,--,--,--,--,25,0,--,0,--,--,--,10,--,--,--,--,--,25,0,0,0,--,--,5,--,0,--,0,0,--,15,--,0,--,--,5,--,--,--,0,0,--,--,20,--,0,--,--,--,--,0,0,--,10,--,5,35,--,15,--,--,5,--,--,--,5,--,--,--,40,--,--,0,0,10,--,0,0,5,0,10,0,30,0,0,--,--,0,--,--,0,--,--,0,0,10,0,0
Total ,,"1,165","1,145","1,130","1,125","1,165","1,325","1,365","1,300","1,650","1,465","1,590","1,620","16,040","1,755","1,825","1,730","1,535","1,490","1,665","1,705","2,030","2,590","2,480","2,570","2,455","23,835","2,625","2,900","3,425","3,070","3,130","3,270","5,115","8,795","4,715","4,755","4,185","4,375","50,360","4,000","3,905","4,200","4,810","4,530","3,775","4,400","4,980","5,170","5,610","5,210","4,430","55,015","4,425","4,240","4,225","4,315","4,665","4,840","6,630","6,300","6,500","6,450","5,360","6,060","64,010","4,670","4,135","3,575","1,520","1,350","1,465",895,"1,030","1,205","1,290","1,310","1,240","23,680","1,195","1,120","1,255","1,100","1,150","1,105","1,225","1,450","2,305","2,640","3,980","6,340","24,870","5,240","5,290","6,075","6,085","7,285","7,305","7,870","8,285","8,940","9,000","9,345","10,920","91,645","10,710","9,790","10,085","6,850","8,785","10,505","11,565","12,410","14,900","16,310","15,905","15,495","143,310","14,685","15,950","15,470","15,290","15,920","14,220","14,385","12,860","13,670","13,860","12,435","13,085","171,835","10,295","8,940","9,205","10,495","8,135","9,985","12,345","9,610","9,670","9,080","7,665","7,705","113,130","6,595","6,595"
"* Province of IRCC inland office at which the asylum claim was made or, if not applicable/available, the last known address of the claimant or non-inland office at which the asylum claim was made. 

Notes:
— Please note that all values between 0 and 5 are shown as “--”. This is done to prevent individuals from being identified when IRCC data is compiled and compared to other publicly available statistics. All other values are rounded to the closest multiple of 5 for the same reason; as a result of rounding, data may not sum to the totals indicated.
— The data in this file show numbers of individuals who have made a refugee claim at a port of entry or at a designated IRCC office.
— Other offices include data on claimants that did not submitted their claim at Border, Airport or Inland offices.
— Data are preliminary and subject to change.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: IRCC, January 31, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
