EN_YEAR	EN_QUARTER	EN_MONTH	FR_ANNEÉ	FR_TRIMESTRE	FR_MOIS	EN_GENDER	FR_SEXE	EN_SKILL_LEVEL	FR_NIVEAU_DE_COMPÉTENCE	TOTAL
2017	Q2	Apr	2017	T2	avr.	Female	Femmes	Other occupations	Autres occupations	8080
2018	Q4	Dec	2018	T4	déc.	Female	Femmes	Other occupations	Autres occupations	7160
2025	Q4	Oct	2025	T4	oct.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2023	Q2	May	2023	T2	mai	Male	Hommes	Other occupations	Autres occupations	38100
2018	Q4	Dec	2018	T4	déc.	Male	Hommes	Other occupations	Autres occupations	9675
2025	Q4	Nov	2025	T4	nov.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2021	Q1	Jan	2021	T1	janv.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	55
2017	Q4	Oct	2017	T4	oct.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2020	Q3	Jul	2020	T3	juil.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	15
2024	Q2	Apr	2024	T2	avr.	Male	Hommes	Other occupations	Autres occupations	26910
2015	Q1	Jan	2015	T1	janv.	Female	Femmes	Other occupations	Autres occupations	6000
2015	Q1	Mar	2015	T1	mars	Female	Femmes	Other occupations	Autres occupations	5745
2023	Q2	Apr	2023	T2	avr.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	--
2025	Q3	Jul	2025	T3	juil.	Male	Hommes	Other occupations	Autres occupations	23320
2017	Q3	Sep	2017	T3	sept.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	5
2023	Q3	Aug	2023	T3	août	Female	Femmes	Other occupations	Autres occupations	34285
2024	Q2	May	2024	T2	mai	Male	Hommes	Other occupations	Autres occupations	32360
2020	Q2	Apr	2020	T2	avr.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	50
2017	Q3	Jul	2017	T3	juil.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2025	Q1	Jan	2025	T1	janv.	Male	Hommes	Other occupations	Autres occupations	32000
2023	Q3	Jul	2023	T3	juil.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	5
2024	Q1	Feb	2024	T1	fév.	Another gender	Un autre genre	Other occupations	Autres occupations	5
2024	Q4	Oct	2024	T4	oct.	Female	Femmes	Other occupations	Autres occupations	28580
2020	Q1	Jan	2020	T1	janv.	Male	Hommes	Other occupations	Autres occupations	15520
2017	Q1	Feb	2017	T1	fév.	Male	Hommes	Other occupations	Autres occupations	8735
2017	Q3	Sep	2017	T3	sept.	Female	Femmes	Other occupations	Autres occupations	10880
2016	Q2	Jun	2016	T2	juin	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2016	Q4	Dec	2016	T4	déc.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	45
2025	Q3	Aug	2025	T3	août	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	20
2025	Q3	Aug	2025	T3	août	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	30
2018	Q1	Feb	2018	T1	fév.	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2015	Q1	Jan	2015	T1	janv.	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2022	Q1	Jan	2022	T1	janv.	Female	Femmes	Other occupations	Autres occupations	11475
2017	Q1	Mar	2017	T1	mars	Female	Femmes	Other occupations	Autres occupations	8530
2020	Q2	Jun	2020	T2	juin	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	20
2019	Q2	Jun	2019	T2	juin	Another gender	Un autre genre	Other occupations	Autres occupations	--
2024	Q1	Feb	2024	T1	fév.	Male	Hommes	Other occupations	Autres occupations	36545
2023	Q1	Mar	2023	T1	mars	Male	Hommes	Other occupations	Autres occupations	38630
2019	Q1	Feb	2019	T1	fév.	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2022	Q4	Nov	2022	T4	nov.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	--
2016	Q2	Jun	2016	T2	juin	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2015	Q2	Jun	2015	T2	juin	Male	Hommes	Other occupations	Autres occupations	9610
2017	Q1	Mar	2017	T1	mars	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2020	Q4	Oct	2020	T4	oct.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	75
2018	Q3	Jul	2018	T3	juil.	Male	Hommes	Other occupations	Autres occupations	16940
2017	Q3	Sep	2017	T3	sept.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	65
2016	Q4	Oct	2016	T4	oct.	Male	Hommes	Other occupations	Autres occupations	10345
2015	Q4	Oct	2015	T4	oct.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2025	Q1	Mar	2025	T1	mars	Another gender	Un autre genre	Other occupations	Autres occupations	--
2022	Q4	Oct	2022	T4	oct.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	5
2024	Q2	May	2024	T2	mai	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2021	Q3	Jul	2021	T3	juil.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2019	Q2	Jun	2019	T2	juin	Male	Hommes	Other occupations	Autres occupations	18535
2022	Q4	Oct	2022	T4	oct.	Female	Femmes	Other occupations	Autres occupations	24990
2021	Q2	Jun	2021	T2	juin	Male	Hommes	Other occupations	Autres occupations	16500
2022	Q3	Sep	2022	T3	sept.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2018	Q3	Jul	2018	T3	juil.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	10
2019	Q2	May	2019	T2	mai	Female	Femmes	Other occupations	Autres occupations	15560
2023	Q1	Jan	2023	T1	janv.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	--
2018	Q3	Aug	2018	T3	août	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2018	Q1	Feb	2018	T1	fév.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	75
2016	Q2	Jun	2016	T2	juin	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	65
2018	Q1	Mar	2018	T1	mars	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2020	Q1	Feb	2020	T1	fév.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2023	Q4	Nov	2023	T4	nov.	Male	Hommes	Other occupations	Autres occupations	32905
2016	Q4	Oct	2016	T4	oct.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	40
2022	Q3	Jul	2022	T3	juil.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2016	Q1	Jan	2016	T1	janv.	Male	Hommes	Other occupations	Autres occupations	8895
2020	Q3	Jul	2020	T3	juil.	Female	Femmes	Other occupations	Autres occupations	4960
2018	Q2	May	2018	T2	mai	Female	Femmes	Other occupations	Autres occupations	10265
2023	Q4	Dec	2023	T4	déc.	Male	Hommes	Other occupations	Autres occupations	27835
2020	Q3	Sep	2020	T3	sept.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	20
2022	Q2	Apr	2022	T2	avr.	Male	Hommes	Other occupations	Autres occupations	15255
2020	Q1	Mar	2020	T1	mars	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2015	Q2	Apr	2015	T2	avr.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	15
2023	Q4	Dec	2023	T4	déc.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	--
2020	Q2	Apr	2020	T2	avr.	Male	Hommes	Other occupations	Autres occupations	9420
2016	Q4	Dec	2016	T4	déc.	Female	Femmes	Other occupations	Autres occupations	5745
2019	Q4	Nov	2019	T4	nov.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2021	Q4	Nov	2021	T4	nov.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2020	Q3	Jul	2020	T3	juil.	Male	Hommes	Other occupations	Autres occupations	6475
2023	Q4	Oct	2023	T4	oct.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	--
2019	Q3	Aug	2019	T3	août	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	10
2015	Q4	Dec	2015	T4	déc.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2019	Q4	Oct	2019	T4	oct.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2019	Q2	Jun	2019	T2	juin	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2015	Q4	Oct	2015	T4	oct.	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	10
2023	Q3	Sep	2023	T3	sept.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2018	Q2	May	2018	T2	mai	Male	Hommes	Other occupations	Autres occupations	13245
2022	Q3	Sep	2022	T3	sept.	Male	Hommes	Other occupations	Autres occupations	30880
2016	Q2	Jun	2016	T2	juin	Another gender	Un autre genre	Other occupations	Autres occupations	--
2020	Q4	Nov	2020	T4	nov.	Female	Femmes	Other occupations	Autres occupations	14805
2023	Q3	Aug	2023	T3	août	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	--
2024	Q3	Jul	2024	T3	juil.	Male	Hommes	Other occupations	Autres occupations	31570
2019	Q4	Dec	2019	T4	déc.	Female	Femmes	Other occupations	Autres occupations	11770
2018	Q3	Aug	2018	T3	août	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2019	Q3	Jul	2019	T3	juil.	Female	Femmes	Other occupations	Autres occupations	9935
2016	Q3	Sep	2016	T3	sept.	Male	Hommes	Other occupations	Autres occupations	10485
2024	Q4	Nov	2024	T4	nov.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2018	Q2	May	2018	T2	mai	Another gender	Un autre genre	Other occupations	Autres occupations	--
2024	Q2	Jun	2024	T2	juin	Female	Femmes	Other occupations	Autres occupations	33350
2016	Q3	Aug	2016	T3	août	Female	Femmes	Other occupations	Autres occupations	9275
2022	Q4	Dec	2022	T4	déc.	Male	Hommes	Other occupations	Autres occupations	25105
2018	Q2	Apr	2018	T2	avr.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	35
2018	Q2	May	2018	T2	mai	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	40
2017	Q1	Feb	2017	T1	fév.	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2021	Q3	Aug	2021	T3	août	Another gender	Un autre genre	Other occupations	Autres occupations	--
2024	Q1	Mar	2024	T1	mars	Another gender	Un autre genre	Other occupations	Autres occupations	10
2025	Q4	Oct	2025	T4	oct.	Male	Hommes	Other occupations	Autres occupations	25955
2017	Q1	Mar	2017	T1	mars	Male	Hommes	Other occupations	Autres occupations	10805
2015	Q2	Apr	2015	T2	avr.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2022	Q1	Mar	2022	T1	mars	Another gender	Un autre genre	Other occupations	Autres occupations	--
2021	Q4	Nov	2021	T4	nov.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	5
2021	Q1	Mar	2021	T1	mars	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2022	Q3	Jul	2022	T3	juil.	Male	Hommes	Other occupations	Autres occupations	22085
2017	Q1	Feb	2017	T1	fév.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	35
2017	Q3	Sep	2017	T3	sept.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2021	Q4	Oct	2021	T4	oct.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2025	Q2	Apr	2025	T2	avr.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	--
2024	Q3	Sep	2024	T3	sept.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2023	Q2	Jun	2023	T2	juin	Male	Hommes	Other occupations	Autres occupations	33740
2021	Q2	Jun	2021	T2	juin	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	25
2025	Q1	Feb	2025	T1	fév.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	--
2019	Q4	Dec	2019	T4	déc.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2022	Q4	Oct	2022	T4	oct.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	--
2025	Q2	May	2025	T2	mai	Male	Hommes	Other occupations	Autres occupations	21415
2015	Q1	Feb	2015	T1	fév.	Male	Hommes	Other occupations	Autres occupations	6165
2025	Q3	Jul	2025	T3	juil.	Female	Femmes	Other occupations	Autres occupations	22370
2020	Q2	Jun	2020	T2	juin	Female	Femmes	Other occupations	Autres occupations	5980
2022	Q2	Jun	2022	T2	juin	Male	Hommes	Other occupations	Autres occupations	22865
2024	Q1	Jan	2024	T1	janv.	Another gender	Un autre genre	Other occupations	Autres occupations	5
2026	Q1	Jan	2026	T1	janv.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	--
2021	Q2	May	2021	T2	mai	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	30
2016	Q4	Nov	2016	T4	nov.	Female	Femmes	Other occupations	Autres occupations	8030
2023	Q4	Oct	2023	T4	oct.	Male	Hommes	Other occupations	Autres occupations	39165
2024	Q3	Aug	2024	T3	août	Female	Femmes	Other occupations	Autres occupations	22140
2019	Q1	Jan	2019	T1	janv.	Female	Femmes	Other occupations	Autres occupations	10740
2019	Q2	Jun	2019	T2	juin	Female	Femmes	Other occupations	Autres occupations	15055
2019	Q3	Aug	2019	T3	août	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	55
2017	Q2	Jun	2017	T2	juin	Female	Femmes	Other occupations	Autres occupations	11540
2018	Q1	Jan	2018	T1	janv.	Female	Femmes	Other occupations	Autres occupations	10075
2015	Q1	Mar	2015	T1	mars	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	10
2017	Q1	Jan	2017	T1	janv.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2019	Q1	Jan	2019	T1	janv.	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2022	Q3	Jul	2022	T3	juil.	Female	Femmes	Other occupations	Autres occupations	19910
2016	Q4	Nov	2016	T4	nov.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2018	Q4	Oct	2018	T4	oct.	Female	Femmes	Other occupations	Autres occupations	9545
2022	Q1	Jan	2022	T1	janv.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	--
2019	Q2	May	2019	T2	mai	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2019	Q4	Oct	2019	T4	oct.	Male	Hommes	Other occupations	Autres occupations	17185
2026	Q1	Jan	2026	T1	janv.	Another gender	Un autre genre	Other occupations	Autres occupations	5
2017	Q1	Mar	2017	T1	mars	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	55
2017	Q3	Sep	2017	T3	sept.	Male	Hommes	Other occupations	Autres occupations	13560
2015	Q2	Apr	2015	T2	avr.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	35
2015	Q3	Sep	2015	T3	sept.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2017	Q2	Apr	2017	T2	avr.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2024	Q3	Jul	2024	T3	juil.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	--
2019	Q1	Mar	2019	T1	mars	Male	Hommes	Other occupations	Autres occupations	11835
2015	Q3	Jul	2015	T3	juil.	Female	Femmes	Other occupations	Autres occupations	7260
2021	Q1	Jan	2021	T1	janv.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2025	Q2	Jun	2025	T2	juin	Female	Femmes	Other occupations	Autres occupations	20545
2020	Q4	Oct	2020	T4	oct.	Male	Hommes	Other occupations	Autres occupations	18075
2024	Q2	Jun	2024	T2	juin	Another gender	Un autre genre	Other occupations	Autres occupations	5
2024	Q2	Jun	2024	T2	juin	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	5
2016	Q2	Apr	2016	T2	avr.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	65
2020	Q2	Jun	2020	T2	juin	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2021	Q4	Oct	2021	T4	oct.	Male	Hommes	Other occupations	Autres occupations	13515
2019	Q1	Mar	2019	T1	mars	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2021	Q3	Aug	2021	T3	août	Female	Femmes	Other occupations	Autres occupations	16500
2018	Q4	Oct	2018	T4	oct.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	60
2017	Q3	Aug	2017	T3	août	Another gender	Un autre genre	Other occupations	Autres occupations	--
2015	Q3	Jul	2015	T3	juil.	Male	Hommes	Other occupations	Autres occupations	9055
2015	Q1	Mar	2015	T1	mars	Another gender	Un autre genre	Other occupations	Autres occupations	--
2023	Q1	Jan	2023	T1	janv.	Male	Hommes	Other occupations	Autres occupations	29075
2019	Q3	Jul	2019	T3	juil.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2022	Q2	Apr	2022	T2	avr.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2022	Q1	Jan	2022	T1	janv.	Male	Hommes	Other occupations	Autres occupations	13575
2015	Q1	Mar	2015	T1	mars	Male	Hommes	Other occupations	Autres occupations	7740
2015	Q4	Dec	2015	T4	déc.	Female	Femmes	Other occupations	Autres occupations	5540
2016	Q1	Feb	2016	T1	fév.	Male	Hommes	Other occupations	Autres occupations	8465
2016	Q3	Jul	2016	T3	juil.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2016	Q4	Oct	2016	T4	oct.	Female	Femmes	Other occupations	Autres occupations	8060
2019	Q1	Jan	2019	T1	janv.	Male	Hommes	Other occupations	Autres occupations	13800
2024	Q1	Feb	2024	T1	fév.	Female	Femmes	Other occupations	Autres occupations	36730
2023	Q2	Jun	2023	T2	juin	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	--
2017	Q4	Nov	2017	T4	nov.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2016	Q3	Sep	2016	T3	sept.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2016	Q2	Apr	2016	T2	avr.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2016	Q3	Jul	2016	T3	juil.	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2019	Q3	Sep	2019	T3	sept.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2017	Q3	Jul	2017	T3	juil.	Male	Hommes	Other occupations	Autres occupations	11290
2021	Q2	Jun	2021	T2	juin	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2015	Q2	May	2015	T2	mai	Female	Femmes	Other occupations	Autres occupations	6020
2018	Q2	Apr	2018	T2	avr.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2016	Q3	Jul	2016	T3	juil.	Female	Femmes	Other occupations	Autres occupations	9980
2018	Q3	Sep	2018	T3	sept.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	35
2023	Q1	Mar	2023	T1	mars	Another gender	Un autre genre	Other occupations	Autres occupations	5
2020	Q4	Oct	2020	T4	oct.	Female	Femmes	Other occupations	Autres occupations	15145
2020	Q1	Jan	2020	T1	janv.	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2019	Q1	Feb	2019	T1	fév.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2018	Q2	Apr	2018	T2	avr.	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2022	Q2	May	2022	T2	mai	Female	Femmes	Other occupations	Autres occupations	17360
2022	Q2	Jun	2022	T2	juin	Another gender	Un autre genre	Other occupations	Autres occupations	--
2025	Q1	Feb	2025	T1	fév.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2018	Q4	Nov	2018	T4	nov.	Male	Hommes	Other occupations	Autres occupations	13235
2026	Q1	Jan	2026	T1	janv.	Male	Hommes	Other occupations	Autres occupations	43195
2015	Q3	Aug	2015	T3	août	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	15
2025	Q4	Nov	2025	T4	nov.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	--
2023	Q4	Dec	2023	T4	déc.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2025	Q1	Mar	2025	T1	mars	Male	Hommes	Other occupations	Autres occupations	29365
2017	Q3	Aug	2017	T3	août	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2022	Q2	Apr	2022	T2	avr.	Female	Femmes	Other occupations	Autres occupations	13785
2016	Q1	Mar	2016	T1	mars	Female	Femmes	Other occupations	Autres occupations	8865
2015	Q3	Sep	2015	T3	sept.	Female	Femmes	Other occupations	Autres occupations	9065
2025	Q3	Aug	2025	T3	août	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	--
2025	Q2	Jun	2025	T2	juin	Another gender	Un autre genre	Other occupations	Autres occupations	10
2019	Q2	Jun	2019	T2	juin	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2017	Q4	Oct	2017	T4	oct.	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2021	Q4	Dec	2021	T4	déc.	Another gender	Un autre genre	Other occupations	Autres occupations	--
